food_id,food_name,brand,categories,countries,collection_location,calories_kcal,protein_g,carbohydrate_g,fat_g,fiber_g,sugar_g,sodium_mg,saturated_fat_g,salt_g,nutriscore,nova_group,serving_size,quantity,source,region,diet_type
IND_FOOD_82,Hot and sour soup,,Indian Food,India,India,31.51,3.12,1.78,1.31,0.6,0.66,163.26,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_83,Talaumein soup,,Indian Food,India,India,35.63,10.12,4.17,12.78,1.94,0.77,11088.14,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_84,Cold cucumber soup (Thanda kheere ka soup),,Indian Food,India,India,48.03,2.99,4.58,1.99,0.88,3.34,121.32,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_85,Cold summer garden soup,,Indian Food,India,India,49.19,8.57,2.65,14.08,1.86,0.46,9919.62,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_86,Chapati/Roti,,Indian Food,India,India,202.31,5.88,35.65,3.56,6.31,1.0,1.16,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_87,Plain parantha/paratha,,Indian Food,India,India,298.3,5.06,30.69,16.86,5.43,0.86,62.07,,,,,100 g,100 g,Indian Food Composition Data,North Indian,Vegetarian
IND_FOOD_88,Potato parantha/paratha (Aloo ka parantha/paratha),,Indian Food,India,India,205.04,3.7,23.92,10.22,4.18,1.15,127.2,,,,,100 g,100 g,Indian Food Composition Data,North Indian,Vegetarian
IND_FOOD_89,Radish parantha/paratha (Mooli ka parantha/paratha),,Indian Food,India,India,183.52,3.3,20.54,9.53,4.32,1.31,127.03,,,,,100 g,100 g,Indian Food Composition Data,North Indian,Vegetarian
IND_FOOD_90,Cauliflower parantha/paratha (Phoolgobhi ka parantha/paratha),,Indian Food,India,India,178.07,3.73,18.84,9.47,4.68,1.15,190.03,,,,,100 g,100 g,Indian Food Composition Data,North Indian,Vegetarian
IND_FOOD_91,Dal parantha/paratha,,Indian Food,India,India,268.24,6.78,30.03,13.05,6.46,1.43,156.13,,,,,100 g,100 g,Indian Food Composition Data,North Indian,Vegetarian
IND_FOOD_92,Sprouted moong parantha/paratha,,Indian Food,India,India,228.59,4.29,24.31,12.43,4.49,1.47,153.94,,,,,100 g,100 g,Indian Food Composition Data,North Indian,Vegetarian
IND_FOOD_93,Pea parantha/paratha (Matar ka parantha/paratha),,Indian Food,India,India,190.73,5.59,21.51,8.8,5.61,1.29,109.99,,,,,100 g,100 g,Indian Food Composition Data,North Indian,Vegetarian
IND_FOOD_94,Keema parantha/paratha,,Indian Food,India,India,238.09,9.41,18.36,13.91,3.44,0.99,140.62,,,,,100 g,100 g,Indian Food Composition Data,North Indian,Non-Vegetarian
IND_FOOD_95,Paneer parantha/paratha,,Indian Food,India,India,262.97,7.98,24.33,14.62,4.0,3.77,142.52,,,,,100 g,100 g,Indian Food Composition Data,North Indian,Vegetarian
IND_FOOD_96,Besan and spinach parantha/paratha (Besan aur palak ka parantha/paratha),,Indian Food,India,India,216.49,5.54,21.39,12.09,4.39,1.31,177.19,,,,,100 g,100 g,Indian Food Composition Data,North Indian,Vegetarian
IND_FOOD_97,Poori,,Indian Food,India,India,737.63,1.35,8.22,77.61,1.46,0.23,31.73,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_98,Spinach poori (Palak poori),,Indian Food,India,India,684.25,1.42,7.76,71.86,1.55,0.24,35.47,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_99,Methi poori,,Indian Food,India,India,710.02,1.45,7.98,74.6,1.61,0.26,35.37,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_100,Dal stuffed poori,,Indian Food,India,India,785.16,2.08,10.14,81.69,1.96,0.29,128.18,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_101,Potato stuffed poori (Aloo ki poori),,Indian Food,India,India,776.74,1.52,9.4,81.35,1.64,0.26,69.86,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_102,Tandoori parantha/paratha,,Indian Food,India,India,295.37,5.08,30.74,16.51,5.44,0.86,1.14,,,,,100 g,100 g,Indian Food Composition Data,North Indian,Vegetarian
IND_FOOD_103,Boiled rice (Uble chawal),,Indian Food,India,India,117.19,2.6,25.72,0.18,1.25,0.22,1.05,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_104,Plain pulao,,Indian Food,India,India,140.21,2.34,21.82,4.62,1.69,1.15,193.76,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_105,Mixed vegetable pulao,,Indian Food,India,India,113.05,2.72,17.49,3.33,2.67,1.35,187.92,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_106,Mushroom pulao,,Indian Food,India,India,124.29,2.52,19.02,4.03,1.88,1.0,222.36,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_107,Sprouted moong pulao,,Indian Food,India,India,112.97,2.19,17.49,3.61,1.78,1.43,153.16,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_108,Paneer pulao,,Indian Food,India,India,581.91,1.98,8.76,59.81,0.62,1.11,72.28,,,,,100 g,100 g,Indian Food Composition Data,North Indian,Vegetarian
IND_FOOD_109,Peanut pulao,,Indian Food,India,India,193.28,5.32,21.18,9.51,2.9,1.6,168.4,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_110,Navratan pulao,,Indian Food,India,India,261.71,6.2,36.98,9.45,3.82,2.52,334.26,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_111,Green chickpeas pulao (Choliya pulao/Hare chane ka pulao),,Indian Food,India,India,173.43,4.88,27.57,4.82,3.15,2.48,170.05,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_112,Mutton biryani/biriyani,,Indian Food,India,India,190.76,7.38,22.5,7.72,2.42,2.39,262.64,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Non-Vegetarian
IND_FOOD_113,Vegetable biryani/biriyani,,Indian Food,India,India,174.61,3.16,18.56,9.51,3.31,2.14,183.79,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_114,"Lemon rice (Pulihora, Elumichai sadam, Chitranna)",,Indian Food,India,India,176.3,4.26,21.62,7.88,2.52,0.78,187.11,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_115,Sweet rice (Meethe chawal),,Indian Food,India,India,215.41,2.1,42.59,4.57,1.13,24.8,3.2,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_116,Curd rice (Dahi bhaat/Dahi chawal/ Perugu annam/Daddojanam/Thayir saadam),,Indian Food,India,India,195.74,5.75,32.93,4.32,2.13,3.91,213.29,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_117,Tamarind rice (Chintapandu pulihora/Puliyodharai/Puli sadam/Huli anna),,Indian Food,India,India,373.04,7.45,65.08,8.53,5.12,11.65,162.41,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_118,Spanish rice,,Indian Food,India,India,164.24,4.19,31.1,2.23,2.78,1.26,96.61,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_119,Chinese fried rice,,Indian Food,India,India,120.58,4.05,13.4,5.43,2.31,1.47,248.36,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_120,Macroni cheese pie,,Indian Food,India,India,170.63,5.85,21.1,7.48,0.4,3.4,200.51,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_121,Vegetable chowmein,,Indian Food,India,India,129.71,3.07,15.44,6.36,1.86,1.97,258.47,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_122,Chicken chowmein,,Indian Food,India,India,151.33,6.33,13.3,8.23,1.64,1.63,288.15,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Non-Vegetarian
IND_FOOD_123,Cheese noodle ring,,Indian Food,India,India,133.67,6.22,13.96,6.12,1.27,2.84,241.96,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_124,Spaghetti and cheese balls in tomato sauce,,Indian Food,India,India,508.32,2.41,7.82,52.08,0.59,1.83,104.14,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_125,Penne platter,,Indian Food,India,India,177.4,5.04,20.87,8.71,1.09,4.5,283.37,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_126,Pasta hot pot,,Indian Food,India,India,125.17,5.84,11.6,6.47,0.8,5.99,231.17,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_127,Chicken lasagne,,Indian Food,India,India,187.49,10.45,13.9,10.36,0.11,2.74,238.55,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Non-Vegetarian
IND_FOOD_128,Fettuccine with spinach sauce,,Indian Food,India,India,129.21,3.1,12.19,7.83,0.77,1.18,153.59,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_129,Naan,,Indian Food,India,India,286.45,8.05,51.75,4.99,1.91,5.59,326.11,,,,,100 g,100 g,Indian Food Composition Data,North Indian,Vegetarian
IND_FOOD_130,Bhatura,,Indian Food,India,India,793.2,1.63,10.73,82.56,0.38,0.69,28.3,,,,,100 g,100 g,Indian Food Composition Data,North Indian,Vegetarian
IND_FOOD_131,Idli,,Indian Food,India,India,137.54,4.64,28.18,0.33,2.31,0.28,100.83,,,,,100 g,100 g,Indian Food Composition Data,South Indian,Vegetarian
IND_FOOD_132,Masala dosa,,Indian Food,India,India,164.58,3.29,19.57,7.84,2.52,1.33,191.28,,,,,100 g,100 g,Indian Food Composition Data,South Indian,Vegetarian
IND_FOOD_133,Semolina dosa (Suji/Rava dosa),,Indian Food,India,India,227.05,7.3,32.84,7.12,4.04,4.37,202.36,,,,,100 g,100 g,Indian Food Composition Data,South Indian,Vegetarian
IND_FOOD_134,Onion tomato uttapam,,Indian Food,India,India,462.02,1.91,11.32,45.3,1.26,0.8,143.53,,,,,100 g,100 g,Indian Food Composition Data,South Indian,Vegetarian
IND_FOOD_135,Paneer kaathi roll,,Indian Food,India,India,285.94,6.92,20.1,19.55,2.4,3.29,221.03,,,,,100 g,100 g,Indian Food Composition Data,North Indian,Vegetarian
IND_FOOD_136,Makki ki roti,,Indian Food,India,India,263.97,3.49,24.19,16.85,5.19,0.7,236.22,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
