food_id,food_name,brand,categories,countries,collection_location,calories_kcal,protein_g,carbohydrate_g,fat_g,fiber_g,sugar_g,sodium_mg,saturated_fat_g,salt_g,nutriscore,nova_group,serving_size,quantity,source,core_nutrient_count,protein_per_100_kcal,fiber_per_100_kcal,sugar_ratio,fat_ratio,macro_total_g
8906010500023,POTATO WAFERS,Balaji,"Appetizers, POTATO WAFERS",India,India,,7.7,53.4,32.9,7.2,0.8,385.0,15.7,962.5,e,3.0,,,Open Food Facts,6,,,0.014981273408239702,0.35,94.0
8901764032912,Sprite,"Coca-Cola, sprite","Sodas, Sweetened beverages",India,India,49.0,0.0,12.2,0.0,,11.7,0.0101,0.0,0.02525,e,4.0,,250 ml,Open Food Facts,6,0.0,,0.9590163934426229,0.0,12.2
7622202225512,Original Oreo,Cadbury,"Filled biscuits, Des","India, United States",India,483.0,5.2,71.9,19.6,,38.9,0.42,9.7,1.05,e,4.0,12 biscuits (100 g),,Open Food Facts,6,1.0766045548654246,,0.541029207232267,0.20268872802481902,96.70000000000002
8904043901015,Tata Salt,Tata,"Table salts, Groceries",India,India,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not-applicable,2.0,1 g,1 kg,Open Food Facts,7,,,,,0.0
8901063092853,Good Day cashew cookie,Britannia,Biscuits,"India, United Kingdom",India,504.0,7.0,65.0,24.0,,22.0,0.218,11.0,0.545,e,4.0,,30.2 g,Open Food Facts,6,1.3888888888888888,,0.3384615384615385,0.25,96.0
8906017290040,Bisleri 1ltr MADE IN INDIA,Bisleri,Waters,"France, India",India,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b,1.0,,1,Open Food Facts,7,,,,,0.0
3948764042911,thums up,thumsup,"Colas, Sweetened beverages",India,India,39.0,0.0,9.7,0.0,0.0,9.5,0.022,0.0,0.055,e,,,250ml,Open Food Facts,7,0.0,0.0,0.9793814432989691,0.0,9.7
8901719129988,Happy happy - Parl,Parle,"Biscuits, Happy happy biscuit",India,India,469.0,6.1,75.2,15.9,0.0,31.0,0.205,8.6,0.0,e,4.0,18g,31.5 g,Open Food Facts,7,1.300639658848614,0.0,0.41223404255319146,0.16358024691358025,97.2
7622202334009,dairy milk,"Cadbury, Dairy Milk",Milk chocolates,India,India,525.0,6.8,62.6,27.9,0.0,58.8,0.107,18.7,0.2675,e,,1 mini (11 g),11 g,Open Food Facts,7,1.295238095238095,0.0,0.939297124600639,0.2867420349434737,97.30000000000001
8906010500627,Chataka Pataka Tangy Tomato,Balaji,"Crisps, Chatapataka, Chis",India,India,554.0,6.5,56.2,33.2,,5.0,0.71,16.0,1.775,e,4.0,30 g,,Open Food Facts,6,1.1732851985559567,,0.0889679715302491,0.3461939520333681,95.9
8901030921667,kissan,Kissan,"Ketchup, Tomato & Chill Ketchup",India,India,133.333333333333,1.33333333333333,30.6666666666667,0.666666666666667,0.666666666666667,29.3333333333333,0.946666666666667,0.0,2.36666666666667,e,4.0,15 g,1,Open Food Facts,7,0.9999999999999999,0.5000000000000014,0.9565217391304327,0.020408163265306114,32.66666666666669
8901764092206,Maaza,"Mazza, The Coca-Cola Company","Juices and nectars, juice",India,India,63.0,0.0,15.8,0.0,,14.9,0.0249,,0.06225,e,4.0,200,600 ml,Open Food Facts,6,0.0,,0.9430379746835443,0.0,15.8
8901030897542,kissan fresh tomato,Kissan,Tomato Ketchup,India,India,133.0,1.1,31.0,0.4,0.6,29.2,0.948,0.03,2.37,e,4.0,15g,90g,Open Food Facts,7,0.8270676691729324,0.4511278195488721,0.9419354838709677,0.012307692307692308,32.5
8901764082405,Kinley Mineral Water 1ltr,Kinley,Waters,India,India,0.0,0.0,0.0,0.0,,0.0,0.0001,0.0,0.00025,b,1.0,,6,Open Food Facts,6,,,,,0.0
8901063029255,Jimjam 57g (57),Britannia,Biscuits,India,India,483.0,5.0,73.0,19.0,0.0,32.9,211.0,9.5,0.0,d,4.0,,57 g,Open Food Facts,7,1.0351966873706004,0.0,0.4506849315068493,0.1958762886597938,97.0
8901491100519,Kurkure,Kurkure,"Crisps, Namkeen","Canada, France, India, Nepal, Spain",India,557.0,6.0,57.7,33.7,0.0,2.2,0.796,7.7,1.99,e,4.0,20 g,78 g,Open Food Facts,7,1.0771992818671454,0.0,0.03812824956672444,0.3459958932238193,97.4
8901262010016,Amul Pasteurized Butter,Amul,Butters,"Bahrain, Hong Kong, India, Kuwait, Malaysia, New Zealand, Oman, Qatar, Singapore, Sri Lanka, United Arab Emirates, United States",India,714.28571,0.0,0.0,78.57143,0.0,0.0,0.821428,50.0,2.05357,e,4.0,100g,100.0 g,Open Food Facts,7,0.0,0.0,,1.0,78.57143
8901764042904,Thumsup,Coca-Cola,Sodas,India,India,39.0,0.0,9.7,0.0,0.0,9.5,0.022,0.0,0.055,e,,100ml,1 litter,Open Food Facts,7,0.0,0.0,0.9793814432989691,0.0,9.7
8901262200196,Amul Masti Spiced Buttermilk 200ml,Amul,"Beverages, Milks, Buttermilks","India, United States",India,28.5,1.5,1.8,1.5,,1.8,0.25,0.95,0.625,c,4.0,200mL,200mL,Open Food Facts,6,5.263157894736842,,1.0,0.3125,4.8
8906010502119,Chataka pataka,Balaji,"Crisps, Chataka pataka","India, United States",India,551.0,6.8,55.5,32.7,1.0,1.0,0.4,15.0,1.0,d,,,25,Open Food Facts,7,1.2341197822141559,0.18148820326678766,0.018018018018018018,0.3442105263157895,95.0
8901764032707,Sprite,Coca Cola,"Artificially sweetened beverages, Sodas, Still fruit soft drink with reduced sugar and with 10-50% of fruit juice, Sweetened beverages",India,India,40.0,0.0,10.0,0.0,,9.8,0.014,,0.035,e,4.0,200ml,600 ml,Open Food Facts,6,0.0,,0.9800000000000001,0.0,10.0
8906010502294,Flaming hot nachos,,Crisps,"India, United Kingdom",India,557.0,9.0,57.0,30.9,,0.1,0.716,14.0,1.79,e,4.0,,,Open Food Facts,6,1.615798922800718,,0.0017543859649122807,0.31888544891640863,96.9
8906010500078,Balaji Farali Chivda,Balaji Namkeen,Snacks,India,India,589.0,15.2,8.0,38.9,7.6,8.0,0.404,14.0,1.01,d,3.0,,22g,Open Food Facts,7,2.5806451612903225,1.2903225806451613,1.0,0.6264090177133655,62.099999999999994
8901491366052,Puffcorn,Kurkure,"Crackers (Appetizers), Corn chips, Puffed salty snacks",India,India,555.0,6.0,56.2,34.5,,1.0,0.892,16.0,2.23,e,4.0,,58 g,Open Food Facts,6,1.0810810810810811,,0.01779359430604982,0.35677352637021714,96.7
8901719135248,Krackjack,Parle,Biscuits,India,India,489.0,6.8,70.5,19.9,,19.6,0.371,9.4,0.9275,e,4.0,100 g,56.7g,Open Food Facts,6,1.390593047034765,,0.27801418439716313,0.20473251028806586,97.19999999999999
8906010501570,Balaji Wafers Crunchex,Balaji,"Crisps, Salty snacks made from potato, Kurkure",India,India,545.0,7.5,55.0,30.7,9.3,3.8,0.000967,14.4,0.0024175,d,4.0,,32g,Open Food Facts,7,1.3761467889908259,1.706422018348624,0.06909090909090909,0.3293991416309013,93.2
8996001312506,Malkist Cheese Flavoured Crunchy Layered Cracker Biscuits,Mayora,"Biscuits, Crackers (Appetizers), cream-biscuit",India,India,491.0,7.7,63.7,22.8,,16.5,0.543,15.3,1.3575,e,4.0,1 biscuit (18 g),144g,Open Food Facts,6,1.5682281059063135,,0.25902668759811615,0.24203821656050956,94.2
8901058005233,Kitkat mini chocolate coated wafer,"KitKat, Nestle nutrition","Chocolate candies, Bars, Chocolate biscuits, Dark chocolate bar",India,India,438.0,6.4,47.4,24.8,0.0,35.1,0.0974,24.5,0.2435,e,4.0,11.9 g,11.9g,Open Food Facts,7,1.4611872146118723,0.0,0.7405063291139241,0.3155216284987278,78.6
8902080104581,Pepsi,Pepsi Cola,"Carbonated waters, Carbonated soft drinks without fruit juice, Cola with sugar, Diet cola soft drink, Sweetened beverages",India,India,43.0,0.0,10.9,0.0,,10.9,0.003,0.0,0.0075,e,4.0,200ml,400ml,Open Food Facts,6,0.0,,1.0,0.0,10.9
8901063023901,Marie Gold,Britannia,"Biscuits, Snack biscuit with fruits filling",India,India,445.0,8.4,78.9,10.7,,21.9,0.319,5.2,0.7975,e,4.0,,250,Open Food Facts,6,1.8876404494382024,,0.27756653992395436,0.10918367346938773,98.00000000000001
8901030921797,kissan fresh tomato,"Kissan, Unilever",Tomato Ketchup,India,India,133.0,1.1,31.0,0.4,0.6,55.2,0.948,0.03,2.37,e,4.0,,,Open Food Facts,7,0.8270676691729324,0.4511278195488721,1.7806451612903227,0.012307692307692308,32.5
8901719135118,MONACO,Parle,"Appetizers, Biscuits, Monaco-biscuit",India,India,492.0,7.9,68.0,20.9,0.0,8.4,0.0,9.7,0.0,d,3.0,52.3,,Open Food Facts,7,1.6056910569105691,0.0,0.12352941176470589,0.21590909090909086,96.80000000000001
8901063162532,Marie gold,Britannia,Biscuits,India,India,445.0,7.9,79.5,10.6,0.0,21.2,0.0,5.1,0.0,d,,,33g,Open Food Facts,7,1.7752808988764044,0.0,0.26666666666666666,0.10816326530612244,98.0
3948764061257,Diet coke,Coca-Cola,Diet cola soft drink,India,India,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,c,4.0,,300 ml,Open Food Facts,7,,,,,0.0
89080153,Maggi masala magic,"Maggi, Maggie",Spices,India,India,166.0,4.2,30.7,2.9,,,10.916,,27.29,not-applicable,4.0,6 g,6g,Open Food Facts,5,2.5301204819277108,,,0.07671957671957673,37.8
8901764032905,Sprite,"Coca cola, Sprite","Artificially sweetened beverages, Sodas",India,India,40.0,0.0,10.0,0.0,,9.8,0.014,0.0,0.035,e,4.0,2.25l,2.25l,Open Food Facts,6,0.0,,0.9800000000000001,0.0,10.0
8904272600291,Storia 100% Tender Coconut Water 1L,Storia Foods & Beverages,Coconut waters,India,India,20.0,0.1,4.9,0.0,0.0,4.9,0.021,0.0,0.0525,c,3.0,100 ml,10,Open Food Facts,7,0.5,0.0,1.0,0.0,5.0
8901764092305,Maaza Origina,HINDUSTAN COCA-COLA BEVERAGES PVT LTD.,Sweetened beverages,India,India,54.0,0.0,13.5,0.0,,13.0,0.4,,1.0,e,4.0,,1.2L,Open Food Facts,6,0.0,,0.9629629629629629,0.0,13.5
8901595862962,Schezwan Chutney,Ching's Secret,Schezean Chutney,India,India,177.0,0.0,20.0,2.0,5.0,10.0,1.05,0.0,16.8875,e,4.0,1 tsp (20 g),250 g,Open Food Facts,7,0.0,2.824858757062147,0.5,0.09090909090909091,22.0
8901262260121,Amul Taaza Milky Milk,"Amul, Amul taaza",Whole pasteurised milks,India,India,29.0,1.5,2.35,1.5,,2.35,0.02,1.0,0.05,c,,1.0 serving (200 ml),500 ml,Open Food Facts,6,5.172413793103448,,1.0,0.28037383177570097,5.35
8906010500863,Shing Bhujiya - Nimbu Chatka,Balaji Wafers,"Appetizers, Bhujia, Shing-bhujiq","India, United States",India,616.0,20.2,28.1,44.2,,3.1,1.109,11.4,2.7725,e,,,24g,Open Food Facts,6,3.279220779220779,,0.11032028469750889,0.47783783783783784,92.5
8901491361026,Kurkure Masala Munch,"Kurkure, PepsiCo","Crisps, Crackers (Appetizers), Puffed salty snacks, Masala-munch-with-gingelly-oil",India,India,558.0,6.4,55.2,34.7,0.0,1.0,0.892,15.6,2.23,e,4.0,50g,41.5g,Open Food Facts,7,1.146953405017921,0.0,0.018115942028985508,0.36033229491173413,96.30000000000001
8901764061257,Diet Coke Can 250ml,Coke,Diet cola soft drink,India,India,0.0,0.0,0.0,0.0,0.0,0.0,0.0083,0.0,0.02075,c,4.0,,4,Open Food Facts,7,,,,,0.0
8901764042706,Thumsup,Cola,"Colas, Sweetened beverages",India,India,39.0,0.0,9.7,0.0,0.0,9.5,0.022,0.0,0.055,e,4.0,200ml,740ml,Open Food Facts,7,0.0,0.0,0.9793814432989691,0.0,9.7
8901764362804,Pulpy Orange,Minute Maid,Orange juices,India,India,52.0,0.0,13.1,0.0,0.0,12.7,0.0096,0.0,0.024,e,4.0,,250ml,Open Food Facts,7,0.0,0.0,0.9694656488549618,0.0,13.1
3948764032707,Sprite,Coca-Cola Company,"Sodas, Carbonated waters, Sweetened beverages",India,India,40.0,0.0,10.0,0.0,0.0,9.8,0.014,0.0,0.0,e,4.0,740 ml,740ml,Open Food Facts,7,0.0,0.0,0.9800000000000001,0.0,10.0
8906032018513,Doodh Biscuits,Patanjali,Biscuits,India,India,468.0,7.2,72.0,17.0,6.0,24.0,0.349,8.3,0.8725,e,4.0,10g,35 g,Open Food Facts,7,1.5384615384615385,1.282051282051282,0.3333333333333333,0.1767151767151767,96.2
8901764042300,Thums Up,Coca-Cola,"Colas, Sweetened beverages",India,India,42.0,0.0,10.6,0.0,0.0,10.4,0.00081,0.0,0.002025,e,4.0,,,Open Food Facts,7,0.0,0.0,0.9811320754716982,0.0,10.6
8901725118938,Bingo Tedhe Medhe,Bingo,"Crisps, Plain salty snacks",India,India,546.0,5.5,57.3,32.8,,1.7,0.7384,15.5,1.846,e,,,19.2g,Open Food Facts,6,1.0073260073260073,,0.029668411867364748,0.34309623430962344,95.6
8906010500016,Simply Salted,Balaji Wafers,Crisps,India,India,554.0,7.7,53.4,32.9,7.2,0.8,0.385,15.7,0.9625,d,3.0,30g,30 g,Open Food Facts,7,1.3898916967509025,1.2996389891696751,0.014981273408239702,0.35,94.0
8901491001168,Masala munch,,Appetizers,India,India,558.0,6.4,55.2,34.6,,1.0,0.892,15.6,2.23,e,,,,Open Food Facts,6,1.146953405017921,,0.018115942028985508,0.3596673596673597,96.2
8906010500214,Balaji Wafers Sev Murmura,Balaji Wafers,"Snacks, Puffed rice","Belgium, India",India,507.0,10.9,60.6,23.4,5.0,0.0,0.808,11.0,2.02,e,4.0,25g,25g,Open Food Facts,7,2.1499013806706118,0.9861932938856016,0.0,0.24657534246575338,94.9
8901719121630,20-20,Parle,"Confectioneries, Biscuits",India,India,482.0,6.7,71.9,18.6,,24.1,0.24,8.5,0.6,e,,100 g,,Open Food Facts,6,1.3900414937759338,,0.33518776077885953,0.19135802469135801,97.20000000000002
8901719105913,parle hide & seek 120g,PARLE,Chocolate biscuits,India,India,479.0,5.9,73.4,18.0,0.0,32.2,0.0,9.4,0.0,e,4.0,100g,120g,Open Food Facts,7,1.2317327766179542,0.0,0.43869209809264303,0.18499486125385403,97.30000000000001
8901030831690,kissan mixed fruit jam,kissan,Tropical fruit jams,India,India,285.0,0.3,70.5,0.1,0.8,68.1,0.051,,0.1275,unknown,4.0,1 serve (20 g),200g,Open Food Facts,7,0.10526315789473684,0.28070175438596495,0.9659574468085106,0.0014104372355430185,70.89999999999999
8901719130014,Happy happy biscuit - Parle - Parle,Parle,"Biscuits, Happy happy",India,India,489.0,5.5,71.5,20.1,0.0,31.0,0.0,10.6,0.0,d,,63.0g,63gr,Open Food Facts,7,1.1247443762781186,0.0,0.43356643356643354,0.20700308959835223,97.1
3948764042904,Thumbs Up,,"Sodas, Thumms up",India,India,42.0,0.0,10.6,0.0,,10.4,0.00081,,0.002025,e,,,,Open Food Facts,6,0.0,,0.9811320754716982,0.0,10.6
8904004400731,Aloo bhujia,Haldiram's,"Snacks, Namkeen",India,India,569.0,8.68,46.1,38.12,3.56,0.25,0.615,16.5,1.5375,e,3.0,100g,200 gm,Open Food Facts,7,1.5254833040421791,0.6256590509666081,0.005422993492407809,0.4103336921420882,92.9
8904004400236,Haldiram's Soya sticks,Haldirams,"Snacks, Soya snack",India,India,554.0,7.46,45.0,38.21,5.26,1.86,0.0,18.56,0.0,c,4.0,,22g,Open Food Facts,7,1.3465703971119134,0.9494584837545126,0.04133333333333333,0.4214183302084482,90.67
8904004403718,Moong Dal,Haldiram's,"Crisps, Mung beans, Vegan, Vegetarian",India,India,476.0,21.31,50.66,20.93,7.52,0.0,0.39,5.64,0.975,c,3.0,100g,18,Open Food Facts,7,4.47689075630252,1.579831932773109,0.0,0.22529601722282022,92.9
8901499008169,Chocos,Kellogg's,Breakfast cereals filled with chocolate,India,India,373.0,9.0,81.0,3.0,7.0,27.5,0.25,1.2,0.625,d,4.0,22.5 g,",",Open Food Facts,7,2.4128686327077746,1.876675603217158,0.3395061728395062,0.03225806451612903,93.0
8901491101844,Lay's Potato Chips,Lay's,Flavoured potato crisps,"Canada, India, United States",India,538.98183547911,6.9,53.4,33.1,,2.5,0.826,14.5,2.065,e,4.0,1 serving (20 g),50 g,Open Food Facts,6,1.2801915659859806,,0.04681647940074907,0.354389721627409,93.4
8901719117183,Hide & Seek,Parle,Biscuits,"India, United States",India,470.0,5.9,73.4,18.6,,32.5,0.114,9.4,0.285,e,,,100g,Open Food Facts,6,1.2553191489361701,,0.4427792915531335,0.18998978549540346,97.9
8904004403732,Haldiram moong dal,Haldiram,"Pulses, Fried foods",India,India,476.0,21.31,50.66,20.93,7.52,0.0,0.39,5.64,0.975,b,3.0,50.0g,200 g,Open Food Facts,7,4.47689075630252,1.579831932773109,0.0,0.22529601722282022,92.9
6291100213146,UAE by,,Dates,India,India,330.90909090909,2.7272727272727,80.0,0.43636363636364,6.9090909090909,72.727272727273,0.0345454545454552,0.43636363636364,0.086363636363638,c,1.0,,500g,Open Food Facts,7,0.8241758241758181,2.0879120879120907,0.9090909090909125,0.005247048535198996,83.16363636363634
8901262010320,Amul Butter,AMUL,Butters,India,India,724.0,1.0,0.0,80.0,0.0,0.0,0.0,48.0,0.0,e,4.0,10gm,200gm,Open Food Facts,7,0.13812154696132595,0.0,,0.9876543209876543,81.0
5999884034469,HELL,Hell,"Energy drink with sugar, Sweetened beverages","Bulgaria, Croatia, Greece, India, Morocco, Romania, Spain, Tunisia",India,46.0,0.0,11.0,0.0,,11.0,0.2,0.0,0.5,e,4.0,250 ml,250 ml,Open Food Facts,6,0.0,,1.0,0.0,11.0
8906010501228,Scoopitos Masala Flavour,Balaji Wafers,Crisps,India,India,519.0,7.1,57.8,27.8,4.8,40.0,1.353,,3.3825,unknown,,1 portion (20 g),,Open Food Facts,7,1.3680154142581886,0.9248554913294796,0.6920415224913495,0.29989212513484365,92.69999999999999
8901719135217,Krackjack,Parle,Biscuits,"India, United Kingdom",India,489.0,,70.5,19.9,,19.6,0.371,9.4,0.9275,unknown,4.0,,28.35gm,Open Food Facts,5,,,0.27801418439716313,,
8901030902932,Fresh Tomato Ketchup,Kissan,Tomato Ketchup,India,India,133.333333333333,1.33333333333333,30.6666666666667,0.666666666666667,0.666666666666667,26.0,378.666666666667,0.0,946.666666666667,e,4.0,15 g,850 g,Open Food Facts,7,0.9999999999999999,0.5000000000000014,0.8478260869565208,0.020408163265306114,32.66666666666669
8901491103794,Oats,"Pepsico, Quaker",Rolled oats,India,India,407.0,11.8,68.5,9.5,10.0,1.8,0.0095,1.9,0.02375,a,1.0,1 serving (40 g),400g,Open Food Facts,7,2.8992628992628995,2.457002457002457,0.026277372262773723,0.10579064587973275,89.8
8901499010513,"Muesli Fruit, Nut & Seeds",Kellogg's,Mueslis with fruits,India,India,955.0,8.1,80.0,5.1,6.4,21.8,0.14,0.9,0.35,c,4.0,1 portion (40 g),750 g,Open Food Facts,7,0.8481675392670156,0.6701570680628273,0.2725,0.05472103004291846,93.19999999999999
8901063093287,Good Day Cashew Cookies,Britannia,Biscuits,India,India,504.0,7.0,65.0,24.0,0.0,22.0,0.0,11.0,0.0,e,4.0,,200 g,Open Food Facts,7,1.3888888888888888,0.0,0.3384615384615385,0.25,96.0
8904327600924,Myfitness Peanut Butter,Myfitness,"Peanut butters, Nut butters",India,India,637.0,23.0,24.0,50.0,9.0,12.0,0.0544,12.0,0.136,c,,32g,510 g,Open Food Facts,7,3.610675039246468,1.4128728414442702,0.5,0.5154639175257731,97.0
8901030922787,Mixed Fruit Jam,Kissan,Mixed fruit jams,India,India,285.3,0.3,70.5,0.1,0.7,68.1,0.051,0.0,0.1275,d,4.0,,90g,Open Food Facts,7,0.10515247108307045,0.24535576586049768,0.9659574468085106,0.0014104372355430185,70.89999999999999
8901491366229,Kurkure Solid Masti Masala Twisteez Crisps,Kurkure,Namkeen,"India, Spain",India,528.0,8.6,58.7,28.7,,0.5,0.878,12.9,2.195,e,4.0,20 g,61gm,Open Food Facts,6,1.628787878787879,,0.008517887563884156,0.2989583333333333,96.0
8909106018327,Boost,"Boost, Unilever",Beverage preparations,India,India,369.0,7.5,80.0,2.5,2.0,35.0,0.45,2.2,1.125,unknown,4.0,9 g,9 g,Open Food Facts,7,2.0325203252032518,0.5420054200542005,0.4375,0.027777777777777776,90.0
0846203004878,Bakarwadi,Chitale,"Food, Food Bakarwadi","Germany, India",India,544.0,9.0,49.0,36.0,,9.0,0.813,8.0,2.0325,e,3.0,10 g,,Open Food Facts,6,1.6544117647058825,,0.1836734693877551,0.3829787234042553,94.0
8902579001360,Frooti 125ml,Frooti,"Fruit juice concentrates, Frooti-mango-drink",India,India,63.2,0.0,15.84,0.0,,15.6,0.01936,0.0,0.0484,unknown,4.0,125ml,125 ml,Open Food Facts,6,0.0,,0.9848484848484849,0.0,15.84
8901058000306,Maggi noodles masala,Nestlé,Instant noodles,India,India,442.857142857143,8.57142857142857,60.0,18.5714285714286,2.85714285714286,1.42857142857143,1.02857142857143,10.0,2.57142857142857,unknown,4.0,1 portion (70 g),560 gm,Open Food Facts,7,1.9354838709677409,0.6451612903225811,0.023809523809523832,0.21311475409836095,87.14285714285717
8902579002039,appy fizz,parle agro appy fizz,Carbonated fruit soft drink,India,India,51.8,0.0,12.95,0.0,,12.9,0.0212,,0.053,e,,,250ml,Open Food Facts,6,0.0,,0.9961389961389963,0.0,12.95
8903754000062,Tata water 1ltr,Tata,Drinking water,India,India,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.0,0.00075,b,3.0,250ml,1000ml,Open Food Facts,7,,,,,0.0
8902080504060,Packaged Drinking Water,"Aquafina is sold by PepsiCo, PepsiCo",Waters,"France, India",India,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,b,1.0,250 ml,1 l,Open Food Facts,7,,,,,0.0
89002940,Coconut oil,Parachute,"Coconut oils, Oil",India,India,900.0,0.0,0.0,100.0,0.0,0.0,0.0,91.0,0.0,e,2.0,100ml,100ml,Open Food Facts,7,0.0,0.0,,1.0,100.0
8901725015275,Dark Fantasy,Sunfeast is sold by ITC Limited,"Biscuits, Chocolates",India,India,507.0,7.3,61.1,27.3,,35.7,0.1815,12.7,0.45375,e,4.0,1 cookie (10 g),69 g,Open Food Facts,6,1.4398422090729783,,0.5842880523731588,0.2852664576802508,95.7
8901764012914,Coca-Cola,The Coca-Cola Company,"Colas, Carbonated soft drinks without fruit juice with sugar, Sweetened beverages",India,India,44.0,0.0,10.9,0.0,0.0,10.6,0.0085,0.0,0.02125,e,4.0,200 ml,250 ml,Open Food Facts,7,0.0,0.0,0.9724770642201834,0.0,10.9
90162602,Red Bull Energy Drink,Red Bull,"Sodas, Energy drinks, Sweetened beverages, Carbonated Sodas","Albania, Australia, Bulgaria, Egypt, France, Greece, India, Ireland, Morocco, Tunisia, United Kingdom, United States",India,45.0,0.0,11.0,0.0,,11.0,0.039,0.0,0.0975,e,4.0,1 can (250 ml),250 ml,Open Food Facts,6,0.0,,1.0,0.0,11.0
8901207025365,Honey,Dabur,Honeys,"France, India",India,320.0,0.0,80.0,0.0,,80.0,0.017,0.0,0.0425,e,2.0,21 g,250,Open Food Facts,6,0.0,,1.0,0.0,80.0
8902579203016,Packaged Drinking Water,"Bailey, Parle Agro",Mineral waters,India,India,0.0,0.0,0.0,0.0,,0.0,0.0005,,0.00125,a,1.0,,1 l,Open Food Facts,6,,,,,0.0
8901725118921,tedha medha,bingo,Crisps,India,India,541.0,6.9,55.9,32.8,0.0,1.8,0.0,14.8,0.0,d,4.0,,75,Open Food Facts,7,1.2754158964879854,0.0,0.03220035778175313,0.34309623430962344,95.6
8901719135088,Monaco,Parle,Appetizers,India,India,492.0,7.9,68.8,20.6,,8.4,0.891,9.7,2.2275,e,,100 g,,Open Food Facts,6,1.6056910569105691,,0.12209302325581396,0.21171634121274407,97.30000000000001
